标题,标题链接,时间
2021年11月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901302.html,2021/12/15
2021年10月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901276.html,2021/11/15
2021年9月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901260.html,2021/10/20
2021年8月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901215.html,2021/9/15
2021年7月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901188.html,2021/8/16
2021年6月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901152.html,2021/7/15
2021年5月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901135.html,2021/6/17
2021年4月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901096.html,2021/5/17
2021年3月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901044.html,2021/4/16
2021年2月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901022.html,2021/3/15
2021年1月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900997.html,2021/2/23
2020年12月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900962.html,2021/1/15
2020年11月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900930.html,2020/12/14
2020年10月份70个大中城市商品住宅销售价格变动情况,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1900906.html,2020/11/16
